tVal2,tVal3,tVal4,tVal5,tVal6,tVal7,ax,ay,az,gx,gy,gz,face,,
1,1,1,1,0,0,0.58,0.3,0.58,29911.75,-34345.06,-31985.24,6,,
,,,,,,,,,,,,,,
1,0,1,1,0,0,0.44,-0.69,0.86,-11558.11,-71126.3,-45915.11,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.66,-0.04,0.71,-31185.91,44034.89,25394.92,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.41,-0.19,0.78,23424.03,-70377.08,-54361.79,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.53,-0.39,0.75,-455.74,55247.02,38434.79,6,,
,,,,,,,,,,,,,,
1,1,1,1,0,0,0.56,0.18,0.78,-23455.05,-8181.83,20439.06,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.13,0.32,0.85,-59265.16,-4953.48,19933.21,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.63,0.37,0.55,78186.68,-46301.65,-25461.73,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.02,-0.86,0.88,-13626.83,53567.23,49298.55,6,,
,,,,,,,,,,,,,,
1,1,1,1,0,0,0.55,0.22,0.79,-21589.14,2259.61,28926.3,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.05,-0.38,0.97,16270.6,-26871.9,-31887.41,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.84,0.25,0.65,-77012.73,33598.22,29277.05,0,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.44,-0.18,0.82,78186.68,-19434.52,-68193.82,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.34,-0.52,0.74,-76318.38,-20045.36,26859.97,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.33,-0.2,0.66,57807.27,25623.98,-12567.42,6,,
,,,,,,,,,,,,,,
1,1,1,1,0,0,0.18,-0.46,0.93,-64755.5,29961.86,72266.84,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.1,-0.2,0.63,78186.68,-58940.65,-78184.29,6,,
,,,,,,,,,,,,,,
1,1,0,1,1,0,-0.52,-0.31,0.61,-78184.29,-4555,28208.1,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.08,0.48,0.54,65867.41,53478.94,-30152.74,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.14,-0.24,0.55,-78184.29,-53230.79,-5108.57,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.73,0.83,0.51,37609.2,39487.04,-7380.11,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.3,-0.89,0.96,38045.86,-2087.81,-48959.73,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.53,-0.27,0.69,-44297.35,-47523.32,9379.63,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.43,0.17,0.78,-38327.41,30706.31,31214.54,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.95,0.33,0.8,19527.58,-71.58,-31787.2,0,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.2,-0.36,0.91,17780.98,-43166.36,-34123.16,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.72,0.31,0.58,-75385.43,47931.33,43426.44,0,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.67,-0.14,0.87,62312.16,-15423.54,-70746.91,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.55,-0.32,0.79,-67291.89,-11954.2,39441.7,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.23,0.58,0.76,2770.22,47399.24,-8492.02,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.25,-0.46,0.91,60012,-43867.86,-78184.29,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.2,-0.33,0.73,-49487.05,48205.73,78186.68,6,,
,,,,,,,,,,,,,,
1,1,1,1,0,0,0.63,0.1,0.85,10589.37,-39105.27,-20520.19,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.69,-0.24,0.63,9362.93,-58298.8,8742.55,0,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.36,-0.01,0.61,-78184.29,56256.32,42235.79,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0,0.62,0.65,78186.68,-46098.83,-78184.29,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.58,-0.32,0.57,14111.21,41457.93,18499.19,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.33,0.33,0.78,-49883.14,24125.53,69496.62,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.11,0.03,0.85,73724.73,-64547.91,-73464.65,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.7,-0.67,0.72,-24056.34,31727.55,34493,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.35,0.32,0.73,-48496.83,18205.7,9114.78,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.3,0.1,0.8,60641.92,-78184.29,-51040.38,6,,
,,,,,,,,,,,,,,
1,1,0,1,1,0,-0.59,-0.28,0.64,-25969.96,78186.68,49520.46,6,,
,,,,,,,,,,,,,,
1,1,1,1,0,0,0.6,0,0.8,2569.8,-22500.62,7618.72,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.18,-0.35,0.76,-6036.75,-73767.68,-17551.92,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.58,0.78,0.45,-55640.72,77380.19,15595.34,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.24,-0.46,0.95,68849.99,-20109.78,-68787.95,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.3,-0.27,0.73,23152.02,10200.44,19971.39,6,,
,,,,,,,,,,,,,,
1,1,1,1,0,0,0.35,-0.08,0.86,-40558.38,3793.85,32087.84,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.22,0.2,0.69,26852.81,-58849.98,-34493,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.23,-0.19,0.79,-18038.67,73760.52,52517.36,6,,
,,,,,,,,,,,,,,
1,1,1,1,0,0,0.41,0.04,0.82,-2238.13,916.25,-11648.78,6,,
,,,,,,,,,,,,,,
1,1,1,1,0,0,0.72,0.37,0.69,-13447.88,12934.87,29804.38,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.16,-0.4,0.85,28840.4,-61963.8,-26478.2,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.71,0.33,0.54,-73125.83,1717.97,16253.9,0,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.44,0.21,0.72,52109.34,-32615.16,-65912.74,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.65,0.06,0.65,39274.68,11479.37,17535.21,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.06,-0.28,0.75,-51176.39,71978.13,63784.37,6,,
,,,,,,,,,,,,,,
1,1,1,1,0,0,0.64,0.22,0.75,32166.58,-5557.15,-44932.05,6,,
,,,,,,,,,,,,,,
